name_of_satellite_alternate_names,country_of_operator_owner,operator_owner,users,purpose,class_of_orbit,type_of_orbit,longitude_of_geo_degrees,perigee_km,apogee_km,eccentricity,inclination_degrees,period_minutes,launch_mass_kg,dry_mass_kg,power_watts,date_of_launch,expected_lifetime,contractor,country_of_contractor,launch_site,launch_vehicle,cospar_number,norad_number,comments,serialid
Worldview 1,USA,DigitalGlobe Corporation,Military/Commercial,Earth Observation,LEO,Sun-Synchronous,0,493,494,7.28E-05,97.5,95,"""4,500""","","""3,200""",2007-09-18,7.25 yrs.,Ball Aerospace,USA,Vandenberg AFB,Delta 2,2007-041A,32060,"""Earth-imaging satellite; images with 0.5 meter resolution of about 290,000 square miles of Earth's surface.""",959
Worldview 2,USA,DigitalGlobe Corporation,Military/Commercial,Earth Observation,LEO,Sun-Synchronous,0,766,769,2.10E-04,98.58,100.19,"""2,800""","","",2009-10-08,"",Ball Aerospace,USA,Vandenberg AFB,Delta 2,2009-055A,35946,Will provide earth imaging  in eight color bands; 0.5 m resolution for panchromatic images and 1.8 m for multi-spectral.,960
XaTcobeo,Spain,University of Vigo,Civil,Technology Development,LEO,"",0,313,"""1,396""",7.50E-02,69.5,101.5,1,"","",2012-02-13,"",University of Vigo,Spain,Guiana Space Center,Vega,2012-006F,38082,"""Will test a software-defined reconfigurable radio, an ionizing radiation measurement system and a solar panel deployment system. """,961
X-37B Orbital Test Vehicle-2 (USA 226),USA,U.S. Air Force,Military,Technology Development,LEO,"",0,321,337,1.19E-03,42.8,91.11,"""5,000""","","",2011-03-05,.5 yrs.,Boeing Sate,USA,Cape Canaveral,Atlas 5,2011-010A,37375,Examine how highly complex technologies will perform in space before they are made operational. Capable of re-entry and landing.,962
XM Radio 3 (Rhythm),USA,XM Satellite Radio USA,Commercial,Communications,GEO,"",-85.04,"""35,782""","""35,790""",9.49E-05,0.01,1436.1,"""4,703""","","""18,000""",2005-03-01,15 yrs.,Boeing Satellite Systems,USA,Sea Launch (Odyssey),Zenit 3SL,2005-008A,28626,130 channels of digital music uplinked in the X-band from one or more ground stations.,963
XM Radio 4 (Blues),USA,XM Satellite Radio USA,Commercial,Communications,GEO,"",-114.96,"""35,784""","""35,787""",3.56E-05,0.01,1436.09,"""5,193""","","""18,000""",2006-10-30,15 yrs.,Boeing Satellite Systems,USA,Sea Launch (Odyssey),Zenit 3SL,2006-049A,29520,S-band Digital Audio Radio Service (DARS) to homes and automobiles in Noth America.,964
XM Rock (XM 2),USA,XM Satellite Radio USA,Commercial,Communications,GEO,"",-85.23,"""35,784""","""35,789""",5.93E-05,0.08,1436.13,"""4,682""","""2,500""","""18,000""",2001-03-18,15 yrs.,Boeing Satellite Systems,USA,Sea Launch (Odyssey),Zenit 3SL,2001-012A,26724,100 channels of digital music uplinked in the X-band from one or more ground stations.,965
XM Roll (XM 1),USA,XM Satellite Radio USA,Commercial,Communications,GEO,"",-85.16,"""35,785""","""35,788""",3.56E-05,0.09,1436.11,"""4,667""","""2,500""","""18,000""",2001-05-08,15 yrs.,Boeing Satellite Systems,USA,Sea Launch (Odyssey),Zenit 3SL,2001-018A,26761,100 channels of digital music uplinked in the X-band from one or more ground stations.,966
XMM Newton (High Throughput X-ray Spectroscopy Mission),ESA,European Space Operations Centre (ESOC),Government,Space Physics,Elliptical,Deep Highly Eccentric,0,"""7,079""","""114,027""",7.99E-01,38.4,"""2,872.15""","""3,764""","""3,233""","",1999-12-10,2-10 yrs.,Dornier Systems (and 46 subcontractors),International,Guiana Space Center,Ariane 5,1999-066A,25989,Detect and study celestial x-ray sources.,967
X-Sat,Singapore,Centre for Research in Satellite Technology (CREST),Government,Earth Observation,LEO,Sun-Synchronous,0,803,822,1.32E-03,98.77,101.14,91,"",175,2011-04-20,3 yrs.,Centre for Research in Satellite Technology (CREST),Singapore,Sriharikota Launch Station,PSLV C16,2011-015C,37389,"""Signapore's first national satellite; multi-spectral camera, will demonstrate space-based remote sensing and image processing technologies.""",968
XTAR-EUR,Spain,Ministry of Defense/XTAR,Military/Government,Communications,GEO,"",29.03,"""35,778""","""35,792""",1.66E-04,0.1,1436.06,"""3,631""","""1,412""","",2005-02-12,15 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2005-005A,28542,X-band; designed to be compatible with U.S. and NATO SATCOM systems. Contract with US Department of State.,969
"""XW-1 (Hope Oscar 68, HO-68, Xi Wang 1, Hope-1, CAS-1)""",China (PR),DFH Satellite/AMSAT-China,Civil,Communications,LEO,Sun-Synchronous,0,"""1,192""","""2,206""",6.28E-02,100.5,109.4,60,"","",2009-12-15,"",DFH Satellite,China (PR),Taiyuan Launch Center,Long March 4C,2009-072B,36122,China's first amateur satellite.,970
Yahsat-1A (Y1A),United Arab Emirates,Al Yah Satellite Communications Company (YAHSAT),Military/Commercial,Communications,GEO,"",52.5,"""35,743""","""35,823""",9.49E-04,0.04,1435.92,"""5,953""","","",2011-04-22,15 yrs.,Astrium/Thales Alenia Space,France,Guiana Space Center,Ariane 5,2011-016B,37393,"""First of two identical satellites; Ku, Ka, and C-band transponders. Direct-to-home television programming, secure Ka-band communications for military and government in UAE.""",971
Yamal-201 ,Russia,Gazprom Space Systems,Commercial,Communications,GEO,"",90.05,"""35,773""","""35,800""",3.20E-04,0.03,1436.1,"""1,360""","","""2,000""",2003-11-24,12 yrs.,Rocket-Space Corporation Energia/Alcatel,Russia/France,Baikonur Cosmodrome,Proton K,2003-053B,28094,"""Nine C-band, 6 Ku-band; provide communications for gas corporation operations throughout Eurasian continent.""",972
Yamal-202 ,Russia,Gazprom Space Systems,Commercial,Communications,GEO,"",49.03,"""35,774""","""35,796""",2.61E-04,0.04,1436.06,"""1,320""","","""2,000""",2003-11-24,12 yrs.,Rocket-Space Corporation Energia/Alcatel,Russia,Baikonur Cosmodrome,Proton K,2003-053A,28089,18 C-band; provide communications for gas corporation operations throughout Eurasian continent.,973
Yaogan 10 (Remote Sensing Satellite 10),China (PR),People's Liberation Army (C41),Military,Remote Sensing,LEO,Sun-Synchronous,0,624,632,5.72E-04,97.83,97.27,"","","",2010-08-09,"",Shanghai Academy of Satellite Technology (SAST),China (PR),Taiyuan Launch Center,Long March 4C,2010-038A,36834,"",974
Yaogan 11 (Remote Sensing Satellite 11),China (PR),People's Liberation Army (C41),Military,Remote Sensing,LEO,Sun-Synchronous,0,625,656,2.21E-03,98,97.54,"","","",2010-09-22,"",Chinese Academy of Space Technology (CAST),China (PR),Jiuquan Satellite Launch Center,Long March 2D,2010-047A,37165,"",975
Yaogan 12 (Remote Sensing Satellite 12),China (PR),People's Liberation Army (C41),Military,Remote Sensing,LEO,Sun-Synchronous,0,484,491,5.10E-04,97.4,94.35,"","","",2011-11-09,"",Chinese Academy of Space Technology (CAST),China (PR),Taiyuan Launch Center,Long March 4B,2011-066B,37875,Remote sensing; help with crop estimates and diasaster alert/remedy; believed to actually be a military radar satellite.,976
Yaogan 13 (Remote Sensing Satellite 13),China (PR),People's Liberation Army (C41),Military,Remote Sensing,LEO,Sun-Synchronous,0,505,511,4.36E-04,97.11,94.78,"","","",2011-11-29,"",Chinese Academy of Space Technology (CAST),China (PR),Taiyuan Launch Center,Long March 2C,2011-072A,37941,Remote sensing; help with crop estimates and diasaster alert/remedy; believed to actually be a military radar satellite.,977
"""Yaogan 2 (Remote Sensing Satellite 2, Jian Bing 5-2, JB 5-2)""",China (PR),People's Liberation Army (C41),Military,Remote Sensing,LEO,Sun-Synchronous,0,630,655,1.78E-03,97.85,97.57,"""1,200""","","",2007-05-25,"",Chinese Academy of Space Technology (CAST),China (PR),Jiuquan Satellite Launch Center,Long March CZ2D,2007-019A,31490,Remote sensing; help with crop estimates and diasaster alert/remedy; believed to actually be a military radar satellite.,978
"""Yaogan 3 (Remote Sensing Satellite 3, Jian Bing 5-3, JB 5-3)""",China (PR),People's Liberation Army (C41),Military,Remote Sensing,LEO,Sun-Synchronous,0,627,630,2.14E-04,97.81,97.28,"""2,700""","","",2007-11-11,"",Shanghai Academy of Satellite Technology (SAST),China (PR),Taiyuan Launch Center,Long March,2007-055A,32289,Remote sensing.,979
Yaogan 4 (Remote Sensing Satellite 4),China (PR),People's Liberation Army (C41),Government,Remote Sensing,LEO,Sun-Synchronous,0,633,653,1.43E-03,97.92,97.58,"""2,700""","","",2008-12-01,"",Chinese Academy of Space Technology (CAST),China (PR),Jiuquan Satellite Launch Center,Long March 2D,2008-061A,33446,"""Scientific research, land resources surveying, crop yield estimate and disaster prevention and relief.""",980
"""Yaogan 5 (Remote Sensing Satellite 5, JB 5-C, Jian Bing 5-C)""",China (PR),People's Liberation Army (C41),Government,Remote Sensing,LEO,Sun-Synchronous,0,488,494,4.37E-04,97.39,94.44,"""2,700""","","",2008-12-15,"",China Aerospace Science and Technology Corp.,China (PR),Taiyuan Launch Center,Long March 4B,2008-064A,33456,"""Data collection and transmission involving land resources surveys, environmental surveillance and protection, urban planning, crop yield estimates, disaster prevention and reduction, and space science experiments.""",981
"""Yaogan 6 (Remote Sensing Satellite 6, Jian Bing 7-A)""",China (PR),People's Liberation Army (C41),Government,Remote Sensing,LEO,Sun-Synchronous,0,511,513,1.45E-04,97.6,94.87,"""1,800""","","",2009-04-22,"",Shanghai Academy of Satellite Technology (SAST),China (PR),Taiyuan Launch Center,Long March 2C,2009-021A,34839,"""Land resources surveys, etc. (see Yaogan 5). But western military believes it to be a reconnaissance satellite.""",982
Yaogan 7 (Remote Sensing Satellite 7),China (PR),People's Liberation Army (C41),Government,Remote Sensing,LEO,Sun-Synchronous,0,623,659,2.57E-03,97.8,97.54,"""2,700""","","",2009-12-09,"",Chinese Academy of Space Technology (CAST),China (PR),Jiuquan Satellite Launch Center,Long March 2D,2009-069A,36110,"""Land resources surveys, etc. (see Yaogan 5). But western military believes it to be a reconnaissance satellite.""",983
Yaogan 8 (Remote Sensing Satellite 8),China (PR),People's Liberation Army (C41),Government,Remote Sensing,LEO,Sun-Synchronous,0,"""1,192""","""1,205""",8.59E-04,100.5,109.39,"","","",2009-12-15,"",Shanghai Academy of Satellite Technology (SAST),China (PR),Taiyuan Launch Center,Long March 4C,2009-072A,36121,"""Land resources surveys, etc. (see Yaogan 5). But western military believes it to be a reconnaissance satellite.""",984
Yaogan 9A (Remote Sensing Satellite 9A),China (PR),People's Liberation Army (C41),Government,Remote Sensing,LEO,Sun-Synchronous,0,"""1,083""","""1,100""",1.14E-03,63.41,107.08,"","","",2010-03-05,"",Chinese Academy of Space Technology (CAST),China (PR),Jiuquan Satellite Launch Center,Long March 4C,2010-009A,36413,"",985
Yaogan 9B (Remote Sensing Satellite 9B),China (PR),People's Liberation Army (C41),Government,Remote Sensing,LEO,Sun-Synchronous,0,"""1,083""","""1,100""",1.14E-03,63.41,107.08,"","","",2010-03-05,"",Chinese Academy of Space Technology (CAST),China (PR),Jiuquan Satellite Launch Center,Long March 4C,2010-009B,36414,"",986
Yaogan 9C (Remote Sensing Satellite 9C),China (PR),People's Liberation Army (C41),Government,Remote Sensing,LEO,Sun-Synchronous,0,"""1,083""","""1,100""",1.14E-03,63.41,107.08,"","","",2010-03-05,"",Chinese Academy of Space Technology (CAST),China (PR),Jiuquan Satellite Launch Center,Long March 4C,2010-009C,36415,"",987
Youthsat,India,Indian Space Research Organization (ISRO),Government,Scientific Research,LEO,Sun-Synchronous,0,804,821,1.18E-03,98.79,101.14,92,"","",2011-04-20,2 yrs.,Indian Space Research Organization (ISRO),India,Sriharikota Launch Station,PSLV C16,2011-015B,37388,"""Payloads a collaboration between Indian and Russian students, carries three science instruments.""",988
"""Yubileiny (Jubilejnyj, Radio Sputnik 30 (RS-30))""",Russia,Research Laboratory of Aerospace Technology (NILAKT ROSTO),Civil,Technology Development,LEO,Intermediate,0,"""1,480""","""1,508""",1.78E-03,82.52,115.86,45,"","",2008-05-23,"",OAO ISS,Russia,Plesetsk Cosmodrome,Rokot,2008-025A,32953,"""Commemorates Sputnik flight of 1957; will broadcast audio and video about the history of the Soviet and Russian space programs, as well as signals imitating those broadcast by Sputnik in 1957.""",989
"""Zhangguo Ziyuan 2B (ZY-2B, JB-3B)""",China (PR),Chinese Academy of Space Technology,Military,Remote Sensing,LEO,Sun-Synchronous,0,470,483,9.49E-04,97.4,94.13,"""1,500""","","",2002-10-27,3-5 yrs.,Chinese Academy of Space Technology (CAST),China (PR),Taiyuan Launch Center,Long March CZ4B,2002-049A,27550,"""Officially intended for environment monitoring and protection, city planning, crops yield estimate, disaster prevention and mitigation, space science testing.""",990
"""Zhangguo Ziyuan 2C (ZY-2C, JB-3C)""",China (PR),Chinese Academy of Space Technology,Military,Reconnaissance,LEO,Sun-Synchronous,0,479,503,1.75E-03,97.3,94.14,"","","",2004-11-04,3-5 yrs.,Chinese Academy of Space Technology (CAST),China (PR),Taiyuan Launch Center,Chang Zheng 4B,2004-044A,28470,Third digital imaging spacecraft launched by Chinese government for reconnaissance purposes.,991
"""Zheda Pixing 1B (ZP-1B, Zhejiang University-1B)""",China (PR),Zhejiang University,Civil,Scientific Research,LEO,Sun-Synchronous,0,624,655,2.21E-03,98.03,97.51,4,"","",2010-09-22,"",Zhejiang University,China (PR),Jiuquan Satellite Launch Center,Long March 2D,2010-047B,37166,Picosat for scientific research - MEMS.,992
"""Zheda Pixing 1C (ZP-1C, Zhejiang Univeristy-1B""",China (PR),Zhejiang University,Civil,Scientific Research,LEO,Sun-Synchronous,0,624,655,2.21E-03,98.03,97.51,4,"","",2010-09-22,"",Zhejiang University,China (PR),Jiuquan Satellite Launch Center,Long March 2D,2010-047C,37167,Picosat for scientific research - MEMS.,993
Ziyuan 3 (ZY-3),China (PR),China Centre for Resources Satellite Data and Application (CRESDA),Civil,Earth Observation,LEO,Sun-Synchronous,0,494,503,6.55E-04,97.48,94.58,"""2,650""","","",2012-01-09,4 yrs.,China Academy of Space Technology (CAST),China (PR),Taiyuan Launch Center,Long March 4B,2012-001A,38046,Land survey satellite.,994
Zhongxing 10 (Chinasat 10),China (PR),China Satellite Communication Corp. (China Satcom),Government,Communications,GEO,"",110.5,"""35,774""","""35,799""",2.97E-04,0.04,1436.1,"""5,000""","","",2011-06-20,15 yrs.,Chinese Academy of Space Technology (CAST),China (PR),Xichang Satellite Launch Center,Long March 3B,2011-026A,37677,Will replace Chinasat 5B. C-band and Ku-band transponders.,995
"""Zhongxing 1A (Chinasat 1A, Fenghuo 2)""",China (PR),People's Liberation Army (C41),Military,Communications,GEO,"",129.84,"""35,778""","""35,796""",2.13E-04,0.3,1436.13,"""5,200""","","",2011-09-18,"",Chinese Academy of Space Technology (CAST),China (PR),Xichang Satellite Launch Center,Long March 3B,2011-047A,37804,Possible replacement for Zhongxing 22A.,996
