name_of_satellite_alternate_names,country_of_operator_owner,operator_owner,users,purpose,class_of_orbit,type_of_orbit,longitude_of_geo_degrees,perigee_km,apogee_km,eccentricity,inclination_degrees,period_minutes,launch_mass_kg,dry_mass_kg,power_watts,date_of_launch,expected_lifetime,contractor,country_of_contractor,launch_site,launch_vehicle,cospar_number,norad_number,comments,serialid
"""ABS-1 (LMI-1, Lockheed Martin-Intersputnik-1)""",International,Asia Broadcast Satellite,Commercial,Communications,GEO,"",75.03,"""35,777""","""35,794""",2.02E-04,0.01,1436.08,"""2,894""","""1,730""","""6,800 (EOL)""",1999-09-26,15 yrs.,Lockheed Martin,USA,Baikonur Cosmodrome,Proton,1999-053A,25924,"""28 C-band, 16 Ku-band; business services, public voice and data services, broadcasting, direct-to-home; Eastern Europe, CIS, South and Southeast Asia, Africa, Middle East, Australia.""",1
"""ABS-1A (Koreasat 2, Mugunghwa 2, ABS-1A)""",International,Asia Broadcast Satellite,Commercial,Communications,GEO,"",116.54,"""35,785""","""35,789""",4.74E-05,1.86,1436.13,"""1,459""",800,"""1,600""",1996-01-14,10 yrs.,Lockheed Martin Astro Space,USA,Cape Canaveral,Delta 2,1996-003A,23768,Korean peninsula; 15 Ku-band transponders.,2
"""ABS-7 (Koreasat 3, Mugungwha 3)""",International,Asia Broadcast Satellite,Commercial,Communications,GEO,"",116.18,"""35,780""","""35,791""",1.30E-04,0.01,1436.06,"""3,500""","""1,800""","""4,800""",1999-09-04,15 yrs.,Lockheed Martin Astro Space,USA,Guiana Space Center,Ariane,1999-046A,25894,"""30 Ku-band, 6 Ka-band; Korean peninsula, the Japanese archipelago, and parts of China and Russia.""",3
AcrimSat (Active Cavity Radiometer Irradiance Monitor),USA,"""NASA Goddard Space Flight Center, Jet Propulsion Laboratory""",Government,Solar Physics,LEO,Sun-Synchronous,0,682,727,3.18E-03,98.2,98.86,115,13,10,1999-12-21,5 yrs.,Orbital Sciences Corp.,USA,Vandenberg AFB,Taurus,1999-070B,26033,Monitor total solar irradiance (TSI) with maximum precision; ascertain the extent of solar radiation variability.,4
"""AEHF-1 Advanced Extremely High Frequency satellite-1, USA 214)""",USA,US Air Force,Military,Communications,GEO,"",0,"""4,732""","""49,970""",6.71E-01,15.07,1027.47,"""6,169""","","",2010-08-14,14 yrs.,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2010-039A,36868,"""Constellation of 3 plus 1; will replace the Milstar system. This satellite's main engine failed right after launch, stranding it in a transfer orbit. It may reach its GEO orbit by summer 2011.""",5
"""Africasat-1 (Measat 1, Malaysia East Asia Sat 1)""",Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Commercial,Communications,GEO,"",46.03,"""35,784""","""35,787""",3.56E-05,1.12,1436.06,"""1,450""",650,"""1,200 (BOL)""",1996-01-13,12.2 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,1996-002B,23765,"""Inclined orbit; digital video and audio broadcasting, international and domestic VSAT and telecommunication services as well as high-speed Internet access; 12 C-band, 5 Ku-band.""",6
Afristar ,USA,1Worldspace,Commercial,Communications,GEO,"",20.97,"""35,770""","""35,802""",3.80E-04,0.03,1436.09,"""2,704""","""1,530""","""5,500""",1998-10-28,15 yrs.,Matra Marconi Space-France,France,Guiana Space Center,Ariane 44L,1998-063A,25515,"""First WorldSpace satellite; digital audio and multi-media communications  to Africa, Middle East, Asia, Latin America and Caribbean.""",7
"""Agila 2/ABS-5 (Agila 2, Mabuhay 1)""",International,Asia Broadcast Satellite,Commercial,Communications,GEO,"",146.06,"""35,769""","""35,802""",3.91E-04,0.05,1436.07,"""3,775""","""1,800""","""9,000""",1997-08-19,15 yrs.,Space Systems/Loral,USA,Xichang Satellite Launch Center,Long March CZ3B,1997-042A,24901,"""Most powerful telecommunications satellite in service in the Asia-Pacific region; 30 C-band, 24 Ku-band transponders; 190 high fidelity channels and 50,000 simultaneous telephone links.""",8
AGILE (Astro-rivelatore Gamma a Immagini Leggaro),Italy,Italian Space Agency,Government,Scientific Research,LEO,"",0,523,553,2.17E-03,2.47,95.4,325,"","",2007-04-23,3 yrs.,CarloæGavazziæSpace,Italy,Satish Dhawan Space Center,PSLV C8,2007-013A,31135,Italian gamma ray observatory.,9
AIM (Aeronomy of Ice in Mesosphere),USA,"""Center for Atmospheric Sciences, Hampton University/NASA""",Government,Earth Science,LEO,"",0,586,601,1.08E-03,97.79,96.55,215,197,216,2007-04-25,2 yrs.,Orbital Sciences Corp.,USA,Vandenberg AFB,Pegasus XL,2007-015A,31304,Study noctilucent clouds (NLC) in the polar mesosphere. In 2011 the mission was extended through FY 2012.,10
AISSat-1 (Automatic Identification System Satellite-1),Norway,Norwegian Space CentreNorwegian Defence Research Establishment (FFI),Government,Technology Development,LEO,Sun-Synchronous,0,619,636,1.21E-03,98.15,97.26,6,"","",2010-07-12,3 yrs.,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Canada,Sriharikota Launch Station,PSLV,2010-035C,36797,Equipped with instrument that receives and forwards Automatic Identification System (AIS) signals; will demonstrate maritime ship-tracking technologies.,11
Akebono (EXOS-D),Japan,"""Institute of Space and Aeronautical Science, University of Tokyo""",Civil,Space Physics,Elliptical,"",0,264,"""5,732""",2.92E-01,75.1,150.4,"",294,270 (EOL),1989-02-21,1 yr.,"""Institute of Space and Aeronautical Science, University of Tokyo""",Japan,Uchinoura Space Center,Mu 3S2,1989-016A,19822,Investigate particle acceleration regions above auroral region; develop better understanding of acceleration mechanism and relation to substorm phenomena.,12
Alsat-2A (Algeria Satellite 2A),Algeria,Centre National des Techniques Spatiales (CNTS),Government,Earth Observation,LEO,Sun-Synchronous,0,672,674,1.42E-04,98.23,98.21,130,"","",2010-07-12,5 yrs.,EADS Astrium,France/UK/German/Spain,Sriharikota Launch Station,PSLV,2010-035D,36798,"""The system will enable Algeria to obtain very high quality images for use in a wide variety of applications: cartography, management of agriculture, forestry, water, mineral and oil resources, crop protection, management of natural disasters and land planning.""",13
Amazonas ,Brazil,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,GEO,"",-61.02,"""35,776""","""35,797""",2.49E-04,0.04,1436.1,"""4,545""","""2,000""","""9,500 (EOL)""",2004-08-04,15 yrs.,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2004-031A,28393,"""36 Ku-band, 27 C-band transponders; North and South American continents; Spanish language; leak detected - may not have enough fuel for 15-year life.""",14
Amazonas-2,Spain,Hispasat,Commercial,Communications,GEO,"",-61,"""35,767""","""35,805""",4.51E-04,0.03,1436.08,"""5,465""","","""15,300""",2009-10-01,15 yrs.,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5,2009-054A,35942,"""54 Ku-band, 10 C-band transponders; North, Central and South America.""",15
"""AMC-1 (Americom 1, GE-1)""",USA,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,"",-103.02,"""35,772""","""35,800""",3.32E-04,0.03,1436.1,"""2,783""","""1,600""","""6,500 (EOL)""",1996-09-08,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2A,1996-054A,24315,"""Broadcasting, business, cable, mobile; 24 C-band and 24 Ku-band transponders; 50 states and Caribbean""",16
"""AMC-10 (Americom-10, GE 10)""",USA,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,"",-134.97,"""35,775""","""35,797""",2.61E-04,0.01,1436.09,"""2,315""",907,"""6,500 (EOL)""",2004-02-05,15 yrs.,Lockheed Martin,USA,Cape Canaveral,Atlas 2AS,2004-003A,28154,24 C-band transponders.,17
"""AMC-11 (Americom-11, GE 11)""",USA,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,"",-130.93,"""35,774""","""35,797""",2.73E-04,0.04,1436.07,"""2,340""","""2,316 (BOL)""","""6,500 (EOL)""",2004-05-19,15 yrs.,Lockheed Martin,USA,Cape Canaveral,Atlas 2AS,2004-017A,28252,24 C-band transponders.,18
AMC-15 (Americom-15),USA,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,"",-105.04,"""35,777""","""35,795""",2.13E-04,0.04,1436.08,"""4,200""","","",2004-10-14,15 yrs.,Lockheed Martin,USA,Baikonur Cosmodrome,Proton M,2004-041A,28446,"""Hybrid Ku-Ka-band satellite; CONUS, Alaska, Hawaii.""",19
AMC-16 (Americom-16),USA,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,"",-84.98,"""35,780""","""35,793""",1.54E-04,0.02,1436.1,"""4,312""","","",2004-12-17,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5,2004-048A,28472,"""Hybrid Ku-Ka-band satellite; CONUS, Alaska, Hawaii.""",20
AMC-18 (Americom 18),USA,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,"",-104.97,"""35,773""","""35,800""",3.20E-04,0.06,1436.1,"""2,081""",918,"",2006-12-08,15 yrs.,Lockheed Martin Missiles and Space,USA,Guiana Space Center,Ariane 5,2006-054B,29644,All c-band transponders for North American coverage.,21
"""AMC-2 (Americom 2, GE-2)""",USA,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,"",-100.98,"""35,774""","""35,798""",2.85E-04,0.05,1436.1,"""2,648""","""1,600""","""6,500 (EOL)""",1997-01-30,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44L,1997-002A,24713,"""Broadcasting, business, cable; CONUS, Hawaii, Caribbean, southern Canada; 24 Ku- and 24 C-band""",22
AMC-21 (Americom 21),USA,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,"",-124.86,"""35,778""","""35,793""",1.78E-04,3,1436.1,"""2,500""","","""5,000""",2008-08-14,15 yrs.,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2008-038B,33275,"""Television services to the US, Canada, Mexico and Caribbean.""",23
"""AMC-3 (Americom 3, GE-3)""",USA,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,"",-86.96,"""35,777""","""35,795""",2.13E-04,0.02,1436.08,"""2,845""","""1,600""","""6,500 (EOL)""",1997-09-04,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2AS,1997-050A,24936,"""Broadcasting, business, cable; CONUS, Hawaii, Caribbean, southern Canada; 24 Ku- and 24 C-band""",24
"""AMC-4 (Americom-4, GE-4)""",USA,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,"",-100.99,"""35,781""","""35,791""",1.19E-04,0.01,1436.1,"""3,909""","""2,500""","",1999-11-13,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44LP,1999-060A,25954,"""Broadcasting, cable, internet; CONUS, Canada, Mexico, Caribbean, Central America, South America; 28 Ku- and 24 C-band""",25
"""AMC-5 (Americom-5, GE-5)""",USA,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,"",-78.93,"""35,777""","""35,796""",2.25E-04,0.03,1436.1,"""1,698""",769,"",1998-10-28,15 yrs.,Alcatel Space Industries,France,Guiana Space Center,Ariane 44L,1998-063B,25516,"""Broadband internet, business television; 16 Ku-band; CONUS""",26
"""AMC-6 (Americom-6, GE-6)""",USA,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,"",-71.98,"""35,778""","""35,795""",2.02E-04,0.05,1436.12,"""3,901""","""2,500""","",2000-10-22,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Baikonur Cosmodrome,Proton K,2000-067A,26580,"""Business (government and VSAT), media and entertainment; 28 Ku- and 24 C-band; CONUS, Canada, Mexico, Caribbean, Central America""",27
"""AMC-7 (Americom-7, GE-7)""",USA,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,"",-136.94,"""35,773""","""35,798""",2.97E-04,0.01,1436.08,"""1,935""",912,"""6,500 (EOL)""",2000-09-14,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5G,2000-054B,26495,"""Cable programming; 24 C-band; CONUS, Alaska, Hawaii, Caribbean""",28
"""AMC-8 (Americom-8, GE-8, Aurora 3)""",USA,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,"",-139,"""35,773""","""35,798""",2.97E-04,0.03,1436.07,"""2,015""",919,"""3,300""",2000-12-19,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5G,2000-081B,26639,"""Cable television and radio programming; 24 C-band; CONUS, Alaska, Hawaii, Caribbean""",29
"""AMC-9 (Americom 9, GE-12)""",USA,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,"",-82.95,"""35,773""","""35,798""",2.97E-04,0.05,1436.08,"""4,100""","""2,000""","""10,000""",2003-06-07,15+ yrs.,Alcatel Space Industries,France,Baikonur Cosmodrome,Proton K,2003-024A,27820,"""Television programmers, government agencies and enterprise networks; 24 Ku-band; CONUS and Mexico.""",30
Amos 2 ,Israel,Israel Aircraft Industries,Military/Commercial,Communications,GEO,"",-3.98,"""35,778""","""35,794""",1.90E-04,0.05,1436.08,"""1,400""",646,"""1,900 (EOL)""",2003-12-27,12 yrs.,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Soyuz-Fregat ,2003-059A,28132,"""Ku-band communications, Europe, Middle East, East Coast of USA.""",31
Amos 3,Israel,Space-Communication Ltd,Military/Commercial,Communications,GEO,"",-3.99,"""35,783""","""35,789""",7.12E-05,0.04,1436.1,"","","",2008-04-28,12 yrs.,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 3SLB,2008-022A,32794,"""15 transponders, Ku and Ka bands.""",32
Amos 5,Israel,Space-Communication Ltd,Military/Commercial,Communications,GEO,"",17,"""35,595""","""36,007""",4.88E-03,0.09,1436.08,"""1,600""","","",2011-12-11,15 yrs.,OAO ISS,Russia,Baikonur Cosmodrome,Proton M,2011-074A,37950,"""14 C-band, 18 Ku-band.""",33
Amsat-Oscar 7 (AO-7),USA,Amsat-NA,Civil,Amateur Radio,LEO,Sun-Synchronous,0,"""1,440""","""1,460""",1.28E-03,101.7,114.9,29,"","",1974-11-15,"",Amsat-NA,USA,Vandenberg AFB,Delta 2310,1974-089B,7530,American amateur radio satellite.,34
Anik F1 ,Canada,"""Telesat Canada Ltd. (BCE, Inc.)""",Commercial,Communications,GEO,"",-107.27,"""35,778""","""35,793""",1.78E-04,0.02,1436.08,"""4,710""","""2,950""","""15,500 (EOL)""",2000-11-21,15 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,2000-076A,26624,"""36 C-band and 48 Ku-band transponders; broadcasting, business; North and South America; faulty solar panels may affect operations by 2005.""",35
Anik F1R,Canada,"""Telesat Canada Ltd. (BCE, Inc.)""",Commercial,Communications,GEO,"",-107.3,"""35,777""","""35,795""",2.13E-04,0.02,1436.1,"""4,500""","","""10,000""",2005-09-09,15 yrs.,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2005-036A,28868,"""32 Ku-band, 24 C-band transponders, 2 navigation transponders; North America.""",36
Anik F2 ,Canada,"""Telesat Canada Ltd. (BCE, Inc.)""",Commercial,Communications,GEO,"",-111.07,"""35,781""","""35,790""",1.07E-04,0.01,1436.08,"""5,910""","""3,805""","""16,000""",2004-07-18,15 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5,2004-027A,28378,"""24 30W C-band, 40 127W Ku-band, 50 90W transponders for broadband and telemedicine to northern US states and Canada""",37
Anik F3,Canada,"""Telesat Canada Ltd. (BCE, Inc.)""",Commercial,Communications,GEO,"",-118.69,"""35,778""","""35,794""",1.90E-04,0.01,1436.1,"""4,715""","","""17,500""",2007-04-09,15 yrs.,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2007-009A,31102,"""32 Ku-band, 24 C-band and 2 Ka-band transponders; voice and video throughout North America.""",38
Anusat (Anna University Satellite),India,Anna University,Civil/Government,Communications,LEO,"",0,404,552,1.08E-02,41.21,94.15,40,"",33,2009-04-20,2 yrs.,Anna University/IRSO,India,Satish Dhawan Space Center,PSLV C12,2009-019B,34808,First satellite built by Indian university under direction of IRSO. Will demonstrate to students store and forward communications.,39
AprizeSat 1 (LatinSat-C),Argentina,Aprize Satellites Argentina,Commercial,Communications (experimental),LEO,Sun-Synchronous,0,687,753,4.65E-03,98.3,99.5,12,12,"",2004-06-29,"",Aprize Satellite ,Argentina,Baikonur Cosmodrome,Dnepr 1,2004-025G,28372,Messaging services.,40
AprizeSat 2 (LatinSat-D),Argentina,Aprize Satellites Argentina,Commercial,Communications (experimental),LEO,Sun-Synchronous,0,673,699,1.84E-03,98.3,"",12,12,"",2004-06-29,"",Aprize Satellite ,Argentina,Baikonur Cosmodrome,Dnepr 1,2004-025A,28366,Messaging services.,41
AprizeSat 3,USA/Argentina,Aprize Satellite/Latin Trade Satellite,Commercial,Communications,LEO,Sun-Synchronous,0,564,679,8.22E-03,98.13,97.54,12,12,"",2009-07-29,"",SpaceQuest,USA,Baikonur Cosmodrome,Dnepr,2009-041F,35686,Will provide tracking and data monitoring services for companies with remote or mobile assets.,42
AprizeSat 4,USA/Argentina,Aprize Satellite/Latin Trade Satellite,Commercial,Communications,LEO,Sun-Synchronous,0,605,677,5.13E-03,98.13,97.54,12,12,"",2009-07-29,"",SpaceQuest,USA,Baikonur Cosmodrome,Dnepr,2009-041D,35684,Will provide tracking and data monitoring services for companies with remote or mobile assets.,43
AprizeSat 5,USA/Argentina,Aprize Satellite/Latin Trade Satellite,Commercial,Communications,LEO,Sun-Synchronous,0,609,698,6.34E-03,98.2,97.8,12,12,"",2011-08-17,"",SpaceQuest,USA,Dombarovsky Missile Base,Dnepr 1,2011-044E,37792,Continuation of constellation.,44
AprizeSat 6,USA/Argentina,Aprize Satellite/Latin Trade Satellite,Commercial,Communications,LEO,Sun-Synchronous,0,627,697,4.98E-03,98.2,97.9,12,12,"",2011-08-17,"",SpaceQuest,USA,Dombarovsky Missile Base,Dnepr 1,2011-044F,37793,Continuation of constellation.,45
Apstar 1,China (PR),APT Satellite Holdings Ltd.,Commercial,Communications,GEO,"",141.94,"""35,782""","""35,795""",1.54E-04,6.5,1436.21,"""1,383""",726,"",1994-07-21,"",Hughes ,USA,Xichang Satellite Launch Center,Long March 3,1994-043A,23185,In highly inclined orbit.,46
Apstar 1A,China (PR),APT Satellite Holdings Ltd.,Commercial,Communications,GEO,"",51.47,"""35,779""","""35,790""",1.30E-04,5.89,1436.03,"""1,383""",726,"",1996-07-03,"",Hughes,USA,Xichang Satellite Launch Center,Long March 3,1996-039A,23943,In highly inclined orbit.,47
Apstar 2R (Telstar 10),China (PR),Leased to APT Satellite Holdings Ltd./Loral Skynet,Commercial,Communications,GEO,"",76.55,"""35,769""","""35,803""",4.03E-04,0.03,1436.1,"""3,750""","""2,000""","""8,300""",1997-10-17,15 yrs.,Space Systems/Loral,USA,Xichang Satellite Launch Center,Long March 3B,1997-062A,25010,"""One of the most powerful in Asia-Pacific service; 28 C-band, 16 Ku-band; China, Korea, Taiwan, Europe, Africa, Australia.""",48
Apstar 6,China (PR),APT Satellite Holdings Ltd.,Commercial,Communications,GEO,"",134.04,"""35,778""","""35,794""",1.90E-04,0.01,1436.08,"""4,680""","","",2005-04-12,"",Alcatel Space Industries,France,Xichang Satellite Launch Center,Long March 3B,2005-012A,28638,"",49
Apstar 7,China (PR),APT Satellite Holdings Ltd.,Commercial,Communications,GEO,"",76.5,"""35,864""","""35,874""",1.18E-04,0.03,1440.31,"""5,054""","","",2012-03-31,15 yrs.,Thales Alenia Space,France/Italy,Xichang Satellite Launch Center,Long March 3B,2012-013A,38107,Replacement for Apstar 2R.,50
Arabsat 2B (Arabsat IIB),Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,GEO,"",30.51,"""35,774""","""35,798""",2.85E-04,0.05,1436.09,"""2,661""","""1,570""","""5,000""",1996-11-13,14 yrs.,Alcatel Space Industries,France,Guiana Space Center,Ariane 44L,1996-063A,24652,Second generation; radio and tv communications to Middle East.,51
Arabsat 5C,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,GEO,"",19.99,"""35,766""","""35,805""",4.63E-04,0.06,1436.06,"""4,630""","","",2011-09-21,15 yrs.,Astrium/Thales Alenia Space,France,Guiana Space Center,Arinae 5 ECA,2011-049B,37810,"""26 active C-band transponders, 12 active Ka-band transponders""",52
Artemis (Advanced Data Relay and Technology Mission Satellite) ,ESA,European Space Agency,Commercial/Government,Communications/Research,GEO,"",21.36,"""35,771""","""35,803""",3.80E-04,7.03,1436.12,"""3,105""","""1,500""","""4,600""",2001-07-12,10 yrs.,Alenia Spazio,Italy,Guiana Space Center,Ariane 5G,2001-029A,26863,"""An 18-month rescue mission recovered the satellite; develop European capabilities in satellite communications; test new technologies; support development of European navigation system (EGNOS, c. 2010).""",53
AsiaSat 3S (Asiasat 3SA),China (PR),Asia Satellite Telecommunications Co. Ltd. (SES [Soci_t_ Europ_enne des Satellites (SES)]),Commercial,Communications,GEO,"",105.55,"""35,780""","""35,792""",1.42E-04,0.02,1436.07,"""3,480""","""2,500""","""10,000""",1999-03-21,15 yrs.,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Proton K,1999-013A,25657,"""28 C-band, 16 Ku-band; broadcasting, internet services, multimedia, telecommunications""",54
AsiaSat 4 ,China (PR),Asia Satellite Telecommunications Co. Ltd. (SES [Soci_t_ Europ_enne des Satellites (SES)]),Commercial,Communications,GEO,"",122.24,"""35,784""","""35,789""",5.93E-05,0,1436.1,"""4,137""","""2,275""","""9,500""",2003-04-12,15 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 3B,2003-014A,27718,"""28 C-band, 16 Ku-band; extensive C-band coverage across Asia and targeted Ku-band beams for Australasia, East Asia, and a BSS payload for provision of Direct to Home (DTH) services to Hong Kong.""",55
AsiaSat 5,China (PR),Asia Satellite Telecommunications Co. Ltd. (SES [Soci_t_ Europ_enne des Satellites (SES)]),Commercial,Communications,GEO,"",100.5,"""35,778""","""35,795""",2.02E-04,0,1436.11,"""3,760""","","",2009-08-11,15 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Breeze M,2009-042A,35696,"""14 Ku-Band, 26 C-band, serving all of Asia.""",56
AsiaSat 7,China (PR),Asia Satellite Telecommunications Co. Ltd. (SES [Soci_t_ Europ_enne des Satellites (SES)]),Commercial,Communications,GEO,"",105.5,"""35,782""","""35,793""",1.30E-04,0.02,1436.17,"""3,813""","","",2011-11-25,15 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2011-069A,37933,"""28 C-band, 17 Ku-band, and a Ka-band payload. Will replace AsiaSat-3S.""",57
AsiaStar ,USA,1Worldspace,Commercial,Communications,GEO,"",104.97,"""35,773""","""35,801""",3.32E-04,0.02,1436.15,"""2,775""","""1,530""","""5,600""",2000-03-21,15 yrs.,Alcatel Space Industries,France,Guiana Space Center,Ariane 5G,2000-016A,26107,"""Africa, Middle East, Asia, Latin America and Caribbean. Services to underserved emerging markets; low-cost portable receivers.""",58
Astra 1C ,Luxembourg,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,"",2.02,"""35,771""","""35,801""",3.56E-04,2.09,1436.08,"""2,790""","""1,700""","""3,300""",1993-05-12,15 yrs.,Hughes,USA,Guiana Space Center,Ariane 42L,1993-031A,22653,16 Ku-band transponders; 48 channels; broadcast and broadband multimedia services; continental Europe.,59
Astra 1D ,Luxembourg,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,"",31.2,"""35,776""","""35,795""",2.25E-04,1.15,1436.08,"""2,924""","""1,700""","""3,300""",1994-11-01,15 yrs.,Hughes,USA,Guiana Space Center,Ariane 42P,1994-070A,23331,Primarily backup for Astra 1B and 1C; 18 Ku-band transponders; continental Europe.,60
Astra 1E ,Luxembourg,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,"",23.47,"""35,774""","""35,799""",2.97E-04,0.04,1436.13,"""3,014""","""1,800""","""4,150""",1995-10-19,14 yrs.,Hughes,USA,Guiana Space Center,Ariane 42L,1995-055A,23686,"""54 to 108 digital TV programs to W. Europe; 18 Ku-band transponders; backup for 1B, 1C or 1D""",61
Astra 1F ,Luxembourg,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,"",19.22,"""35,778""","""35,797""",2.25E-04,0.03,1436.15,"""3,010""","""1,800""","""4,400""",1996-04-18,15 yrs.,Hughes,USA,Baikonur Cosmodrome,Proton K,1996-021A,23842,Direct tv broadcast to Europe; 16 Ku-band transponders; Europe.,62
Astra 1G ,Luxembourg,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,"",19.24,"""35,780""","""35,791""",1.30E-04,0.04,1436.08,"""3,379""","""3,010 (BOL)""","""6,600""",1997-12-02,15 yrs.,Hughes,USA,Baikonur Cosmodrome,Proton K,1997-076A,25071,Direct-to-home tv; multimedia; 32 Ku-band transponders; Europe,63
ORBCOMM FM-15 (ORBCOMM B3),USA,ORBCOMM Inc.,Commercial,Communications,LEO,Intermediate,0,819,824,3.48E-04,45,101.33,45,22,160,1998-08-02,5 yrs.,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus XL,1998-046F,25418,"",64
Astra 1H ,Luxembourg,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,"",19.2,"""35,776""","""35,794""",2.13E-04,0.06,1436.04,"""3,690""","""2,300""","""6,600""",1999-06-18,15 yrs.,Hughes,USA,Baikonur Cosmodrome,Proton D,1999-033A,25785,"""Direct-to-home tv; multimedia; broadcasting; 32 Ku-band for first five years, 28 after; Europe.""",65
Astra 1KR,Luxembourg,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,"",19.16,"""35,766""","""35,807""",4.86E-04,0.08,1436.1,"""4,332""","","""12,000""",2006-04-20,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5,2006-012A,29055,32 Ku-band transponders; direct-to-home broadcast services across Europe.,66
Astra 1L,Luxembourg,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,"",19.3,"""35,772""","""35,798""",3.08E-04,0.05,1436.03,"""4,500""","","""13,000""",2007-05-04,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA,2007-016A,31306,"""29 Ku-band, 2 Ka-band transponders first five years; 25 Ku-band and 2 Ka-band thereafter.""",67
Astra 1M,Luxembourg,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,"",19.2,"""35,804""","""35,852""",5.69E-04,0.14,1438.2,"""5,345""","","""9,900""",2008-11-05,15 yrs.,EADS Astrium,France,Baikonur Cosmodrome,Proton M,2008-057A,33436,Direct-to-home and HD television.,68
Astra 1N,Luxembourg,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,"",28.2,"""35,715""","""35,780""",7.72E-04,0.12,1434.1,"""5,350""","","",2011-08-06,15 yrs.,EADS Astrium,France,Guiana Space Center,Ariane 5 ECA,2011-041A,37775,Direct-to-home and HD television.,69
