area,lang_count,lang_percent,speakers_count,speakers_percent,mean_speakers,median_speakers
Africa,2110,30.5,726453403,12.2,344291,25200
Americas,993,14.4,50496321,0.8,50852,2300
Asia,2322,33.6,3622771264,60.8,1560194,11100
Europe,234,3.4,1553360941,26.1,6638295,201500
Pacific,1250,18.1,6429788,0.1,5144,980
