Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Facility Type,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Borough,Latitude,Longitude
32273135,12/25/2015 16:20,1/14/2016 10:29,DOITT,Department of Information Technology and Telecommunications,Public Payphone Complaint,Damaged Telephone,Street and Sidewalk,11209,,,,,3 AVENUE,86 STREET,INTERSECTION,BROOKLYN,N/A,1/24/2016 16:20,1/14/2016 10:29,10 BROOKLYN,BROOKLYN,975628,166422,BROOKLYN,40.62346224,-74.03105917
32272442,12/25/2015 16:20,12/25/2015 23:25,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10457,2259 TIEBOUT AVENUE,TIEBOUT AVENUE,EAST 182 STREET,EAST 183 STREET,,,ADDRESS,BRONX,Precinct,12/26/2015 0:20,12/25/2015 23:25,05 BRONX,BRONX,1012531,251086,BRONX,40.85580264,-73.89776699
32272468,12/25/2015 16:19,12/25/2015 20:29,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11218,1154 39 STREET,39 STREET,FT HAMILTON PARKWAY,12 AVENUE,,,ADDRESS,BROOKLYN,Precinct,12/26/2015 0:19,12/25/2015 20:29,12 BROOKLYN,BROOKLYN,987183,173361,BROOKLYN,40.64251204,-73.98943139
32271355,12/25/2015 16:18,,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,11209,9122 3 AVENUE,3 AVENUE,,,,,ADDRESS,BROOKLYN,N/A,1/10/2016 9:04,1/5/2016 9:04,10 BROOKLYN,BROOKLYN,975178,164989,BROOKLYN,40.61952851,-74.03267829
32271772,12/25/2015 16:18,12/31/2015 11:30,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10031,636 WEST  138 STREET,WEST  138 STREET,BROADWAY,12 AVE,,,ADDRESS,NEW YORK,N/A,,12/31/2015 11:30,09 MANHATTAN,MANHATTAN,996826,238897,MANHATTAN,40.82238372,-73.95456184
32272070,12/25/2015 16:17,,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,11209,8125 3 AVENUE,3 AVENUE,,,,,ADDRESS,BROOKLYN,N/A,1/24/2016 16:17,12/25/2015 16:17,10 BROOKLYN,BROOKLYN,976017,167662,BROOKLYN,40.62686615,-74.02965938
32272904,12/25/2015 16:16,12/29/2015 9:30,DOT,Department of Transportation,Street Condition,Pothole,,11236,9517 DITMAS AVENUE,DITMAS AVENUE,EAST   95 STREET,EAST   96 STREET,,,ADDRESS,BROOKLYN,N/A,,12/29/2015 9:30,17 BROOKLYN,BROOKLYN,1008980,176322,BROOKLYN,40.6506053,-73.91087846
32271728,12/25/2015 16:15,,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,11209,7107 3 AVENUE,3 AVENUE,,,,,ADDRESS,BROOKLYN,N/A,1/24/2016 16:15,12/25/2015 16:15,10 BROOKLYN,BROOKLYN,976812,170214,BROOKLYN,40.63387155,-74.02679821
32271029,12/25/2015 16:14,,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,11220,6111 4 AVENUE,4 AVENUE,,,,,ADDRESS,BROOKLYN,N/A,1/10/2016 9:04,1/5/2016 9:04,07 BROOKLYN,BROOKLYN,978937,172495,BROOKLYN,40.64013394,-74.01914389
32272670,12/25/2015 16:13,,DSNY,Department of Sanitation,Graffiti,Graffiti,Residential,11220,6120 7 AVENUE,7 AVENUE,,,,,ADDRESS,BROOKLYN,N/A,1/10/2016 9:04,1/5/2016 9:04,07 BROOKLYN,BROOKLYN,980769,171020,BROOKLYN,40.63608629,-74.01254204
32271719,12/25/2015 16:13,,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,11412,109-06 FARMERS BOULEVARD,FARMERS BOULEVARD,,,,,ADDRESS,Saint Albans,N/A,1/10/2016 9:04,1/5/2016 9:04,12 QUEENS,QUEENS,1048915,195804,QUEENS,40.70387723,-73.76677494
32273080,12/25/2015 16:12,,DSNY,Department of Sanitation,Graffiti,Graffiti,Residential,11220,459 61 STREET,61 STREET,,,,,ADDRESS,BROOKLYN,N/A,1/10/2016 9:04,1/5/2016 9:04,07 BROOKLYN,BROOKLYN,979334,172257,BROOKLYN,40.63948091,-74.01771324
32271808,12/25/2015 16:11,,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,,10017,,,,,EAST   49 STREET,2 AVENUE,INTERSECTION,NEW YORK,N/A,2/11/2016 9:27,12/28/2015 9:28,06 MANHATTAN,MANHATTAN,992845,214072,MANHATTAN,40.75425053,-73.9689773
32272295,12/25/2015 16:11,12/25/2015 17:31,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11418,85-31 101 STREET,101 STREET,BEND,86 AVENUE,,,ADDRESS,RICHMOND HILL,Precinct,12/26/2015 0:11,12/25/2015 17:31,09 QUEENS,QUEENS,1026624,193160,QUEENS,40.6967549,-73.84718756
32273185,12/25/2015 16:10,12/25/2015 17:00,DOT,Department of Transportation,Traffic Signal Condition,Veh Signal Lamp,,,,,,,HORACE HARDING EXPY,OCEANIA ST,INTERSECTION,,N/A,,12/25/2015 17:00,Unspecified QUEENS,QUEENS,,,QUEENS,,
32272361,12/25/2015 16:09,12/25/2015 16:09,DOB,Department of Buildings,Elevator,Elevator - Defective/Not Working,,10452,15 EAST CLARKE PLACE,EAST CLARKE PLACE,,,,,ADDRESS,BRONX,N/A,,12/25/2015 0:00,04 BRONX,BRONX,1006786,244671,BRONX,40.8382119,-73.91855614
32271781,12/25/2015 16:08,12/28/2015 10:55,DOT,Department of Transportation,Street Sign - Missing,St Name - Attached to Pole,Street,11362,,,,,,,LATLONG,LITTLE NECK,N/A,1/24/2016 16:08,12/28/2015 10:55,01 QUEENS,QUEENS,1055925,214301,QUEENS,40.75459275,-73.74129533
32272514,12/25/2015 16:08,12/25/2015 20:21,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11419,101-44 133 STREET,133 STREET,101 AVENUE,LIBERTY AVENUE,,,ADDRESS,SOUTH RICHMOND HILL,Precinct,12/26/2015 0:08,12/25/2015 20:21,09 QUEENS,QUEENS,1035766,191663,QUEENS,40.6925975,-73.81423051
32271051,12/25/2015 16:07,12/26/2015 2:15,DEP,Department of Environmental Protection,Sewer,Sewer Odor (SA2),,11356,,,,,7 AVENUE,126 STREET,INTERSECTION,College Point,N/A,,12/26/2015 2:15,07 QUEENS,QUEENS,1028058,227397,QUEENS,40.79071977,-73.84179318
32277147,12/25/2015 16:06,12/30/2015 18:20,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11224,2124 MERMAID AVENUE,MERMAID AVENUE,,,,,ADDRESS,BROOKLYN,N/A,,12/30/2015 18:20,13 BROOKLYN,BROOKLYN,987502,149213,BROOKLYN,40.57623062,-73.98829355
32272757,12/25/2015 16:06,12/26/2015 12:00,DSNY,Manhattan 05,Overflowing Litter Baskets,6 Overflowing Litter Baskets,Sidewalk,10019,650 5 AVENUE,5 AVENUE,WEST 52 STREET,,,,ADDRESS,NEW YORK,DSNY Garage,,12/26/2015 12:00,05 MANHATTAN,MANHATTAN,990748,216089,MANHATTAN,40.75978847,-73.97654424
32271485,12/25/2015 16:05,12/26/2015 1:08,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11434,161-14 122 AVENUE,122 AVENUE,LONG STREET,161 PLACE,,,ADDRESS,JAMAICA,Precinct,12/26/2015 0:05,12/26/2015 1:08,12 QUEENS,QUEENS,1044926,186681,QUEENS,40.67886503,-73.78124404
32270796,12/25/2015 16:05,12/25/2015 21:37,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11369,22-46 93 STREET,93 STREET,DITMARS BOULEVARD,23 AVENUE,,,ADDRESS,EAST ELMHURST,Precinct,12/26/2015 0:05,12/25/2015 21:37,03 QUEENS,QUEENS,1018202,219524,QUEENS,40.76915385,-73.87742656
32270872,12/25/2015 16:04,12/29/2015 8:40,DOT,Department of Transportation,Street Condition,Pothole,,11212,428 DUMONT AVENUE,DUMONT AVENUE,POWELL STREET,MOTHER GASTON BOULEVARD,,,ADDRESS,BROOKLYN,N/A,,12/29/2015 8:40,16 BROOKLYN,BROOKLYN,1011034,181554,BROOKLYN,40.66496,-73.90345551
