Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Facility Type,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Borough,Latitude,Longitude
32272243,12/25/2015 23:59,12/26/2015 1:58,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11378,60-71 60 ROAD,60 ROAD,60 LANE,FRESH POND ROAD,,,ADDRESS,MASPETH,Precinct,12/26/2015 7:59,12/26/2015 1:58,05 QUEENS,QUEENS,1011078,200193,QUEENS,40.7161196,-73.90322269
32272074,12/25/2015 23:58,12/30/2015 12:00,DSNY,BCC - Staten Island,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,10304,51 COURSEN PLACE,COURSEN PLACE,PINE PLACE,DIX PLACE,,,ADDRESS,STATEN ISLAND,DSNY Garage,,12/30/2015 12:00,01 STATEN ISLAND,STATEN ISLAND,962301,165150,STATEN ISLAND,40.61994787,-74.07906309
32272301,12/25/2015 23:56,12/26/2015 5:32,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10304,51 COURSEN PLACE,COURSEN PLACE,PINE PLACE,DIX PLACE,,,ADDRESS,STATEN ISLAND,Precinct,12/26/2015 7:56,12/26/2015 5:32,01 STATEN ISLAND,STATEN ISLAND,962301,165150,STATEN ISLAND,40.61994787,-74.07906309
32272695,12/25/2015 23:56,12/26/2015 2:03,NYPD,New York City Police Department,Homeless Encampment,N/A,Street/Sidewalk,10023,1855 BROADWAY,BROADWAY,WEST 60 STREET,WEST 61 STREET,,,ADDRESS,NEW YORK,Precinct,12/26/2015 7:56,12/26/2015 2:03,07 MANHATTAN,MANHATTAN,989202,219632,MANHATTAN,40.76951409,-73.98212221
32275089,12/25/2015 23:56,12/30/2015 8:44,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10016,471 3 AVENUE,3 AVENUE,,,,,ADDRESS,NEW YORK,N/A,,12/30/2015 8:44,06 MANHATTAN,MANHATTAN,990074,210530,MANHATTAN,40.74453089,-73.97898198
32272982,12/25/2015 23:55,12/26/2015 0:57,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11418,121-08 JAMAICA AVENUE,JAMAICA AVENUE,122 STREET,123 STREET,,,ADDRESS,RICHMOND HILL,Precinct,12/26/2015 7:55,12/26/2015 0:57,09 QUEENS,QUEENS,1031924,194546,QUEENS,40.70053218,-73.82806452
32272662,12/25/2015 23:54,1/29/2016 15:11,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint,Street,10025,732 AMSTERDAM AVENUE,AMSTERDAM AVENUE,WEST 95 STREET,WEST 96 STREET,,,ADDRESS,NEW YORK,N/A,2/11/2016 9:16,1/29/2016 15:11,07 MANHATTAN,MANHATTAN,992408,228495,MANHATTAN,40.7938383,-73.97053709
32271634,12/25/2015 23:52,12/28/2015 15:42,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10003,51 UNIVERSITY PLACE,UNIVERSITY PLACE,EAST 9 STREET,EAST 10 STREET,,,ADDRESS,NEW YORK,N/A,1/8/2016 23:52,12/28/2015 15:42,02 MANHATTAN,MANHATTAN,985909,206140,MANHATTAN,40.73248319,-73.99401398
32275333,12/25/2015 23:51,12/28/2015 19:53,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10462,2074 WALLACE AVENUE,WALLACE AVENUE,,,,,ADDRESS,BRONX,N/A,,12/28/2015 19:53,11 BRONX,BRONX,1021636,249957,BRONX,40.85267001,-73.86485965
32273059,12/25/2015 23:51,12/28/2015 1:30,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,11232,168 48 STREET,48 STREET,1 AVE,2 AVE,,,ADDRESS,BROOKLYN,N/A,,12/28/2015 1:30,07 BROOKLYN,BROOKLYN,979650,176343,BROOKLYN,40.65069627,-74.01657742
32272969,12/25/2015 23:50,12/26/2015 6:16,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Store/Commercial,11103,25-50 STEINWAY STREET,STEINWAY STREET,25 AVENUE,28 AVENUE,,,ADDRESS,ASTORIA,Precinct,12/26/2015 7:50,12/26/2015 6:16,01 QUEENS,QUEENS,1008618,218930,QUEENS,40.76755509,-73.91202882
32272625,12/25/2015 23:46,12/26/2015 9:14,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11226,EAST 17TH STREET,EAST 17TH STREET,,,,,LATLONG,BROOKLYN,Precinct,12/26/2015 7:46,12/26/2015 9:14,01 BROOKLYN,BROOKLYN,994548,173637,BROOKLYN,40.64326409,-73.96289234
32270996,12/25/2015 23:46,,TLC,Taxi and Limousine Commission,Found Property,Other,,10036,228 WEST 47 STREET,WEST 47 STREET,BROADWAY,8 AVENUE,,,ADDRESS,NEW YORK,N/A,,,05 MANHATTAN,MANHATTAN,988160,216066,MANHATTAN,40.75972687,-73.98588613
32272633,12/25/2015 23:46,12/26/2015 8:54,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11229,2715 AVENUE U,AVENUE U,EAST 27 STREET,EAST 28 STREET,,,ADDRESS,BROOKLYN,Precinct,12/26/2015 7:46,12/26/2015 8:54,15 BROOKLYN,BROOKLYN,999659,157931,BROOKLYN,40.60014699,-73.94451129
32271914,12/25/2015 23:45,12/26/2015 5:26,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10305,55 NORWAY AVENUE,NORWAY AVENUE,ST MARYS CEMETERY BOUNDARY,KRAMER STREET,,,ADDRESS,STATEN ISLAND,Precinct,12/26/2015 7:45,12/26/2015 5:26,02 STATEN ISLAND,STATEN ISLAND,961797,156854,STATEN ISLAND,40.5971758,-74.08085098
32271828,12/25/2015 23:44,12/26/2015 0:34,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11428,222-21 FAIRBURY AVENUE,FAIRBURY AVENUE,222 STREET,224 STREET,,,ADDRESS,QUEENS VILLAGE,Precinct,12/26/2015 7:44,12/26/2015 0:34,13 QUEENS,QUEENS,1058105,203147,QUEENS,40.72395999,-73.73354931
32272865,12/25/2015 23:43,12/26/2015 1:16,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11432,172-73 HIGHLAND AVENUE,HIGHLAND AVENUE,AVA PLACE,DALNY ROAD,,,ADDRESS,JAMAICA,Precinct,12/26/2015 7:43,12/26/2015 1:16,08 QUEENS,QUEENS,1042892,199294,QUEENS,40.71349839,-73.78846741
32272422,12/25/2015 23:43,12/25/2015 23:53,DOT,Department of Transportation,Traffic Signal Condition,Base Door,,10301,,,,,HART BOULEVARD,FOREST AVENUE,INTERSECTION,STATEN ISLAND,N/A,,12/25/2015 23:53,01 STATEN ISLAND,STATEN ISLAND,956352,169261,STATEN ISLAND,40.63121496,-74.10050912
32271978,12/25/2015 23:42,12/26/2015 5:49,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10453,64 EAST 183 STREET,EAST 183 STREET,WALTON AVENUE,MORRIS AVENUE,,,ADDRESS,BRONX,Precinct,12/26/2015 7:42,12/26/2015 5:49,05 BRONX,BRONX,1011231,251984,BRONX,40.85827145,-73.90246274
32275956,12/25/2015 23:40,12/29/2015 10:47,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10456,956 SHERMAN AVENUE,SHERMAN AVENUE,,,,,ADDRESS,BRONX,N/A,,12/29/2015 10:47,04 BRONX,BRONX,1006644,241045,BRONX,40.82825994,-73.91908142
32274419,12/25/2015 23:40,12/26/2015 17:08,HPD,Department of Housing Preservation and Development,ELECTRIC,POWER OUTAGE,RESIDENTIAL BUILDING,10034,5008 BROADWAY,BROADWAY,,,,,ADDRESS,NEW YORK,N/A,,12/26/2015 17:08,12 MANHATTAN,MANHATTAN,1007061,255792,MANHATTAN,40.86873501,-73.91752446
32271148,12/25/2015 23:40,1/6/2016 12:00,DSNY,A - Queens,Dirty Conditions,E1 Improper Disposal,Sidewalk,11421,85-86 88 STREET,88 STREET,85 ROAD,JAMAICA AVENUE,,,ADDRESS,Woodhaven,N/A,,1/6/2016 12:00,09 QUEENS,QUEENS,1023895,192514,QUEENS,40.69499443,-73.85703288
32273456,12/25/2015 23:39,12/26/2015 22:15,DOT,Department of Transportation,Street Condition,Pothole,,10016,245 EAST   39 STREET,EAST   39 STREET,2 AVENUE,QNS MDTWN TNNL EXIT,,,ADDRESS,NEW YORK,N/A,,12/26/2015 22:15,06 MANHATTAN,MANHATTAN,991324,211903,MANHATTAN,40.74829852,-73.97446946
32270907,12/25/2015 23:39,12/26/2015 0:02,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10027,260 LENOX AVENUE,LENOX AVENUE,WEST 123 STREET,WEST 124 STREET,,,ADDRESS,NEW YORK,Precinct,12/26/2015 7:39,12/26/2015 0:02,10 MANHATTAN,MANHATTAN,999116,233162,MANHATTAN,40.8066392,-73.94630058
32275712,12/25/2015 23:39,12/26/2015 21:30,DOT,Department of Transportation,Street Condition,Pothole,,10022,252 EAST   50 STREET,EAST   50 STREET,2 AVENUE,3 AVENUE,,,ADDRESS,NEW YORK,N/A,,12/26/2015 21:30,06 MANHATTAN,MANHATTAN,992673,214462,MANHATTAN,40.75532115,-73.96959763
32271258,12/25/2015 23:39,12/26/2015 3:01,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11229,1207 QUENTIN ROAD,QUENTIN ROAD,EAST 12 STREET,EAST 13 STREET,,,ADDRESS,BROOKLYN,Precinct,12/26/2015 7:39,12/26/2015 3:01,15 BROOKLYN,BROOKLYN,995139,160781,BROOKLYN,40.60797637,-73.96078347
32275711,12/25/2015 23:38,12/26/2015 20:50,DOT,Department of Transportation,Street Condition,Pothole,,10019,,,,,6 AVENUE,WEST 59 STREET,INTERSECTION,NEW YORK,N/A,,12/26/2015 20:50,05 MANHATTAN,MANHATTAN,990833,218234,MANHATTAN,40.76567588,-73.97623531
32277375,12/25/2015 23:38,12/26/2015 19:35,DOT,Department of Transportation,Street Condition,Pothole,,10019,,,,,11 AVENUE,WEST 52 STREET,INTERSECTION,NEW YORK,N/A,,12/26/2015 19:35,04 MANHATTAN,MANHATTAN,985990,218764,MANHATTAN,40.76713287,-73.99371845
32272353,12/25/2015 23:38,12/26/2015 5:26,NYPD,New York City Police Department,Derelict Vehicle,With License Plate,Street/Sidewalk,10305,55 NORWAY AVENUE,NORWAY AVENUE,ST MARYS CEMETERY BOUNDARY,KRAMER STREET,,,ADDRESS,STATEN ISLAND,Precinct,12/26/2015 7:38,12/26/2015 5:26,02 STATEN ISLAND,STATEN ISLAND,961797,156854,STATEN ISLAND,40.5971758,-74.08085098
32273476,12/25/2015 23:37,12/26/2015 19:10,DOT,Department of Transportation,Street Condition,Pothole,,10069,,,,,WEST 63 STREET,WEST END AVENUE,INTERSECTION,NEW YORK,N/A,,12/26/2015 19:10,07 MANHATTAN,MANHATTAN,987400,221308,MANHATTAN,40.7741151,-73.98862703
32271182,12/25/2015 23:37,12/26/2015 11:08,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11208,319 LOGAN STREET,LOGAN STREET,ATLANTIC AVENUE,LIBERTY AVENUE,,,ADDRESS,BROOKLYN,Precinct,12/26/2015 7:37,12/26/2015 11:08,05 BROOKLYN,BROOKLYN,1018340,186501,BROOKLYN,40.67851328,-73.87709562
32273490,12/25/2015 23:37,12/26/2015 18:55,DOT,Department of Transportation,Street Condition,Pothole,,10023,,,,,WEST 66 STREET,WEST END AVENUE,INTERSECTION,NEW YORK,N/A,,12/26/2015 18:55,07 MANHATTAN,MANHATTAN,987784,222001,MANHATTAN,40.77601706,-73.98724025
32271207,12/25/2015 23:37,12/28/2015 11:33,DOT,Department of Transportation,Street Light Condition,Street Light Out,,,229 256 ST W,256 ST W,POST RD,SYLVAN AVE,256 ST W,POST RD,INTERSECTION,,N/A,,12/28/2015 11:33,Unspecified BRONX,BRONX,,,BRONX,,
32275624,12/25/2015 23:36,12/26/2015 16:50,DOT,Department of Transportation,Street Condition,Pothole,,10031,3320 BROADWAY,BROADWAY,WEST  134 STREET,WEST  135 STREET,,,ADDRESS,NEW YORK,N/A,,12/26/2015 16:50,09 MANHATTAN,MANHATTAN,996559,237832,MANHATTAN,40.81946098,-73.95552849
32271788,12/25/2015 23:35,12/26/2015 2:45,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11230,1389 EAST 18 STREET,EAST 18 STREET,AVENUE M,AVENUE N,,,ADDRESS,BROOKLYN,Precinct,12/26/2015 7:35,12/26/2015 2:45,14 BROOKLYN,BROOKLYN,996223,163980,BROOKLYN,40.61675557,-73.9568738
32272887,12/25/2015 23:35,12/26/2015 3:02,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11229,1207 QUENTIN ROAD,QUENTIN ROAD,EAST 12 STREET,EAST 13 STREET,,,ADDRESS,BROOKLYN,Precinct,12/26/2015 7:35,12/26/2015 3:02,15 BROOKLYN,BROOKLYN,995139,160781,BROOKLYN,40.60797637,-73.96078347
32276328,12/25/2015 23:33,12/26/2015 16:30,DOT,Department of Transportation,Street Condition,Pothole,,10027,,,,,BROADWAY,WEST 126 STREET,INTERSECTION,NEW YORK,N/A,,12/26/2015 16:30,09 MANHATTAN,MANHATTAN,995922,236687,MANHATTAN,40.81631914,-73.95783192
32272705,12/25/2015 23:33,12/26/2015 1:58,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10461,3109 ROBERTS AVENUE,ROBERTS AVENUE,MAHAN AVENUE,PARKVIEW AVENUE,,,ADDRESS,BRONX,Precinct,12/26/2015 7:33,12/26/2015 1:58,10 BRONX,BRONX,1031760,247686,BRONX,40.84638813,-73.82828029
32272437,12/25/2015 23:32,,CHALL,CHALL,Opinion for the Mayor,HOUSING,,,,,,,,,,,,1/8/2016 23:32,,0 Unspecified,Unspecified,,,Unspecified,,
32271673,12/25/2015 23:32,12/26/2015 2:06,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11233,368 BAINBRIDGE STREET,BAINBRIDGE STREET,RALPH AVENUE,HOWARD AVENUE,,,ADDRESS,BROOKLYN,Precinct,12/26/2015 7:32,12/26/2015 2:06,03 BROOKLYN,BROOKLYN,1005924,187760,BROOKLYN,40.68200806,-73.92185484
32272704,12/25/2015 23:32,12/26/2015 3:03,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11229,1207 QUENTIN ROAD,QUENTIN ROAD,EAST 12 STREET,EAST 13 STREET,,,ADDRESS,BROOKLYN,Precinct,12/26/2015 7:32,12/26/2015 3:03,15 BROOKLYN,BROOKLYN,995139,160781,BROOKLYN,40.60797637,-73.96078347
32275705,12/25/2015 23:32,12/26/2015 13:45,DOT,Department of Transportation,Street Condition,Pothole,,11211,415 GRAND STREET,GRAND STREET,KEAP STREET,RODNEY STREET,,,ADDRESS,BROOKLYN,N/A,,12/26/2015 13:45,01 BROOKLYN,BROOKLYN,997053,198562,BROOKLYN,40.71167431,-73.95381851
32275704,12/25/2015 23:31,12/26/2015 13:00,DOT,Department of Transportation,Street Condition,Pothole,,11211,201 HOOPER STREET,HOOPER STREET,LEE AVENUE,MARCY AVENUE,,,ADDRESS,BROOKLYN,N/A,,12/26/2015 13:00,01 BROOKLYN,BROOKLYN,996155,196123,BROOKLYN,40.70498108,-73.95706198
32274538,12/25/2015 23:31,12/26/2015 11:20,DOT,Department of Transportation,Street Condition,Pothole,,11211,,,,,HEWES STREET,SOUTH 5 STREET,INTERSECTION,BROOKLYN,N/A,,12/26/2015 11:20,01 BROOKLYN,BROOKLYN,997533,196941,BROOKLYN,40.70722434,-73.9520903
32275765,12/25/2015 23:30,12/26/2015 10:45,DOT,Department of Transportation,Street Condition,Pothole,,11211,,,,,MARCY AVENUE,SOUTH 5 STREET,INTERSECTION,BROOKLYN,N/A,,12/26/2015 10:45,01 BROOKLYN,BROOKLYN,996036,197616,BROOKLYN,40.70907918,-73.95748857
32275709,12/25/2015 23:29,12/26/2015 9:55,DOT,Department of Transportation,Street Condition,Pothole,,11222,,,,,BAYARD STREET,LORIMER STREET,INTERSECTION,BROOKLYN,N/A,,12/26/2015 9:55,01 BROOKLYN,BROOKLYN,998060,201235,BROOKLYN,40.71900954,-73.95018069
32274023,12/25/2015 23:29,12/26/2015 8:50,DOT,Department of Transportation,Street Condition,Pothole,,11222,153 BAYARD STREET,BAYARD STREET,GRAHAM AVENUE,MANHATTAN AVENUE,,,ADDRESS,BROOKLYN,N/A,,12/26/2015 8:50,01 BROOKLYN,BROOKLYN,999153,201615,BROOKLYN,40.72005077,-73.94623687
32271585,12/25/2015 23:29,12/26/2015 1:09,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10036,653 11 AVENUE,11 AVENUE,WEST 47 STREET,WEST 48 STREET,,,ADDRESS,NEW YORK,Precinct,12/26/2015 7:29,12/26/2015 1:09,04 MANHATTAN,MANHATTAN,985418,217738,MANHATTAN,40.76431686,-73.9957836
32270968,12/25/2015 23:28,12/26/2015 0:25,NYPD,New York City Police Department,Animal Abuse,Other (complaint details),Residential Building/House,11354,40-05 COLLEGE POINT BOULEVARD,COLLEGE POINT BOULEVARD,ROOSEVELT AVENUE,40 ROAD,,,ADDRESS,FLUSHING,Precinct,12/26/2015 7:28,12/26/2015 0:25,07 QUEENS,QUEENS,1030179,215498,QUEENS,40.75804942,-73.83421481
32274596,12/25/2015 23:28,12/26/2015 8:00,DOT,Department of Transportation,Street Condition,Pothole,,11222,158 NEWTON STREET,NEWTON STREET,ENGERT AVENUE,MC GUINNESS BLVD SOUTH,,,ADDRESS,BROOKLYN,N/A,,12/26/2015 8:00,01 BROOKLYN,BROOKLYN,999384,202122,BROOKLYN,40.72144197,-73.94540239
32271315,12/25/2015 23:28,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint,Street,10013,,,,,HUDSON STREET,BROOME STREET,INTERSECTION,NEW YORK,N/A,2/11/2016 9:16,12/28/2015 9:17,02 MANHATTAN,MANHATTAN,982093,203255,MANHATTAN,40.72456447,-74.00778198
32273241,12/25/2015 23:26,12/26/2015 0:59,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10024,,,,,WEST   90 STREET,COLUMBUS AVENUE,INTERSECTION,NEW YORK,Precinct,12/26/2015 7:26,12/26/2015 0:59,07 MANHATTAN,MANHATTAN,992474,226751,MANHATTAN,40.78905143,-73.97030087
32271798,12/25/2015 23:26,12/26/2015 0:42,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11373,93-20 49 AVENUE,49 AVENUE,93 STREET,94 STREET,,,ADDRESS,ELMHURST,Precinct,12/26/2015 7:26,12/26/2015 0:42,04 QUEENS,QUEENS,1020081,209498,QUEENS,40.74162764,-73.87069643
32272139,12/25/2015 23:23,12/26/2015 3:10,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11229,2328 EAST 28 STREET,EAST 28 STREET,AVENUE W,AVENUE X,,,ADDRESS,BROOKLYN,Precinct,12/26/2015 7:23,12/26/2015 3:10,15 BROOKLYN,BROOKLYN,1000127,156043,BROOKLYN,40.59496399,-73.94283043
32270990,12/25/2015 23:23,12/26/2015 2:02,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11419,95-12 LEFFERTS BOULEVARD,LEFFERTS BOULEVARD,95 AVENUE,97 AVENUE,,,ADDRESS,SOUTH RICHMOND HILL,Precinct,12/26/2015 7:23,12/26/2015 2:02,09 QUEENS,QUEENS,1032196,191504,QUEENS,40.69218114,-73.82710522
32272530,12/25/2015 23:22,12/26/2015 1:16,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10022,,,,,EAST   50 STREET,PARK AVENUE,INTERSECTION,NEW YORK,Precinct,12/26/2015 7:22,12/26/2015 1:16,05 MANHATTAN,MANHATTAN,991458,215139,MANHATTAN,40.75718041,-73.97398238
32273151,12/25/2015 23:19,12/25/2015 23:32,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11226,EAST 17TH STREET,EAST 17TH STREET,,,,,LATLONG,BROOKLYN,Precinct,12/26/2015 7:19,12/25/2015 23:32,01 BROOKLYN,BROOKLYN,994548,173637,BROOKLYN,40.64326409,-73.96289234
32272465,12/25/2015 23:18,12/26/2015 3:10,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11229,2328 EAST 28 STREET,EAST 28 STREET,AVENUE W,AVENUE X,,,ADDRESS,BROOKLYN,Precinct,12/26/2015 7:18,12/26/2015 3:10,15 BROOKLYN,BROOKLYN,1000127,156043,BROOKLYN,40.59496399,-73.94283043
32272205,12/25/2015 23:17,12/26/2015 3:10,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11229,2328 EAST 28 STREET,EAST 28 STREET,AVENUE W,AVENUE X,,,ADDRESS,BROOKLYN,Precinct,12/26/2015 7:17,12/26/2015 3:10,15 BROOKLYN,BROOKLYN,1000127,156043,BROOKLYN,40.59496399,-73.94283043
32273118,12/25/2015 23:17,12/28/2015 11:32,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,10305,117 MILLS AVENUE,MILLS AVENUE,CEDAR AVE,ROBIN RD,,,ADDRESS,STATEN ISLAND,N/A,,12/28/2015 11:32,02 STATEN ISLAND,STATEN ISLAND,965579,155870,STATEN ISLAND,40.59448369,-74.06722967
32270858,12/25/2015 23:16,12/26/2015 1:08,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11434,115-20 BEDELL STREET,BEDELL STREET,115 ROAD,116 AVENUE,,,ADDRESS,JAMAICA,Precinct,12/26/2015 7:16,12/26/2015 1:08,12 QUEENS,QUEENS,1043597,189800,QUEENS,40.68743496,-73.78600801
32272291,12/25/2015 23:16,12/26/2015 17:20,DOT,Department of Transportation,Street Condition,Plate Condition - Shifted,Street,10468,2792 SEDGEWICK AVENUE,SEDGEWICK AVENUE,WEST 195 STREET,WEST 197 STREET,,,ADDRESS,BRONX,N/A,1/4/2016 23:16,12/26/2015 17:20,08 BRONX,BRONX,1011262,256895,BRONX,40.87175055,-73.90233088
32271657,12/25/2015 23:16,12/26/2015 0:42,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11373,42-11 78 STREET,78 STREET,WOODSIDE AVENUE,45 AVENUE,,,ADDRESS,ELMHURST,Precinct,12/26/2015 7:16,12/26/2015 0:42,04 QUEENS,QUEENS,1015558,210099,QUEENS,40.74329441,-73.8870158
32273109,12/25/2015 23:16,12/28/2015 11:37,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,11354,40-05 COLLEGE POINT BOULEVARD,COLLEGE POINT BOULEVARD,ROOSEVELT AVE,40 RD,,,ADDRESS,Flushing,N/A,,12/28/2015 11:37,07 QUEENS,QUEENS,1030179,215498,QUEENS,40.75804942,-73.83421481
32272970,12/25/2015 23:15,12/26/2015 3:34,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Club/Bar/Restaurant,11385,68-69 FRESH PD ROAD,FRESH PD ROAD,CYPRESS HILLS STREET,69 AVENUE,,,ADDRESS,RIDGEWOOD,Precinct,12/26/2015 7:15,12/26/2015 3:34,05 QUEENS,QUEENS,1013232,195591,QUEENS,40.70348142,-73.89547232
32271886,12/25/2015 23:15,12/26/2015 1:04,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10465,3271 LUCERNE STREET,LUCERNE STREET,BEND,RADIO DRIVE,,,ADDRESS,BRONX,Precinct,12/26/2015 7:15,12/26/2015 1:04,10 BRONX,BRONX,1034493,246415,BRONX,40.84288449,-73.81841171
32273222,12/25/2015 23:14,12/26/2015 2:55,NYPD,New York City Police Department,Derelict Vehicle,With License Plate,Street/Sidewalk,11238,1104 PACIFIC STREET,PACIFIC STREET,NYCTA SUBWAY,FRANKLIN AVENUE,,,ADDRESS,BROOKLYN,Precinct,12/26/2015 7:14,12/26/2015 2:55,08 BROOKLYN,BROOKLYN,996463,186473,BROOKLYN,40.67849365,-73.9559686
32272891,12/25/2015 23:14,12/25/2015 23:51,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11201,17 GRACE COURT ALLEY,GRACE COURT ALLEY,HICKS STREET,DEAD END,,,ADDRESS,BROOKLYN,Precinct,12/26/2015 7:14,12/25/2015 23:51,02 BROOKLYN,BROOKLYN,985323,192106,BROOKLYN,40.6939633,-73.99613063
32272822,12/25/2015 23:14,12/26/2015 1:38,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10454,37 BRUCKNER BOULEVARD,BRUCKNER BOULEVARD,LINCOLN AVENUE,ALEXANDER AVENUE,,,ADDRESS,BRONX,Precinct,12/26/2015 7:14,12/26/2015 1:38,01 BRONX,BRONX,1004239,233289,BRONX,40.80697767,-73.92779476
32270945,12/25/2015 23:13,12/25/2015 23:14,TLC,Taxi and Limousine Commission,Taxi Report,Driver Report,,10462,1440 WOOD ROAD,WOOD ROAD,WOOD AVENUE,BEND,,,ADDRESS,BRONX,N/A,,12/25/2015 23:14,09 BRONX,BRONX,1022365,243923,BRONX,40.83610536,-73.86225882
32271456,12/25/2015 23:13,12/26/2015 0:38,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,10460,1725 TAYLOR AVENUE,TAYLOR AVENUE,VAN NEST AVENUE,MORRIS PARK AVENUE,,,ADDRESS,BRONX,Precinct,12/26/2015 7:13,12/26/2015 0:38,11 BRONX,BRONX,1020435,246261,BRONX,40.8425306,-73.86922089
32271845,12/25/2015 23:13,12/28/2015 12:00,DSNY,BCC - Brooklyn North,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,11238,582 FRANKLIN AVENUE,FRANKLIN AVENUE,ATLANTIC AVENUE,PACIFIC STREET,,,ADDRESS,BROOKLYN,DSNY Garage,,12/28/2015 12:00,08 BROOKLYN,BROOKLYN,996678,186460,BROOKLYN,40.67845766,-73.95519349
32272202,12/25/2015 23:12,12/26/2015 7:57,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11212,160 EAST 95 STREET,EAST 95 STREET,RUTLAND ROAD,WINTHROP STREET,,,ADDRESS,BROOKLYN,Precinct,12/26/2015 7:12,12/26/2015 7:57,17 BROOKLYN,BROOKLYN,1005297,180515,BROOKLYN,40.66212368,-73.92413809
32272311,12/25/2015 23:11,12/26/2015 4:51,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11377,49-11 30 AVENUE,30 AVENUE,49 STREET,50 STREET,,,ADDRESS,WOODSIDE,Precinct,12/26/2015 7:11,12/26/2015 4:51,01 QUEENS,QUEENS,1009921,216292,QUEENS,40.76031077,-73.90733492
